Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-02,1800,CCC,8.45,-0.14,-1.63,27714.56055,27800.0,721,491,-41.48,390,689,97.99,8.50,46.0,34,35,0.27,0.30,-0.09,-23.08,0.44,0.39,0.35,0.35,+0.07,25.0,0.49,0.47,0.48,-0.52,0.01,0.01,0.05,0.11,0.28,0.32,0.36,0.54,0.88,0.95,0.59,0.42,0.38,0.34,0.18,0.09
2018-08-02,1810,MIU,17.26,-0.6,-3.36,27714.56055,27800.0,721,491,-41.48,390,689,97.99,17.50,75.0,45,46,0.78,0.77,-0.38,-33.04,1.44,1.29,0.80,1.00,+0.20,25.0,1.67,1.58,0.47,-0.53,0.02,0.02,0.2,0.36,0.73,0.82,0.91,1.27,1.79,2.17,1.48,1.16,1.08,1.0,0.67,0.32
2018-08-02,1816,CGN,2.04,-0.02,-0.97,27714.56055,27800.0,721,491,-41.48,390,689,97.99,2.00,12.0,15,21,0.00,0.06,-0.02,-25.0,0.05,0.05,0.03,0.03,+0.01,50.0,0.01,0.01,0.66,-0.37,0.0,0.0,0.0,0.01,0.05,0.06,0.07,0.14,0.24,0.17,0.08,0.04,0.03,0.02,0.01,0.0
2018-08-02,1898,CCE,3.11,-0.15,-4.6,27714.56055,27800.0,721,491,-41.48,390,689,97.99,3.10,31.0,29,31,0.00,0.11,-0.09,-45.0,0.12,0.1,0.09,0.10,+0.06,150.0,0.11,0.1,0.51,-0.48,0.0,0.0,0.01,0.03,0.1,0.11,0.13,0.2,0.34,0.32,0.19,0.13,0.11,0.1,0.04,0.02
2018-08-02,1918,SUN,22.55,-0.6,-2.59,27714.56055,27800.0,721,491,-41.48,390,689,97.99,23.00,55.00000000000001,60,60,1.52,1.33,-0.35,-20.83,1.28,1.14,1.60,1.75,+0.15,9.38,1.73,1.66,0.48,-0.52,0.02,0.02,0.44,0.81,1.29,1.41,1.53,2.02,2.62,3.14,2.38,1.96,1.86,1.76,1.34,0.81
2018-08-02,1919,CCS,3.24,-0.1,-2.99,27714.56055,27800.0,721,491,-41.48,390,689,97.99,3.20,26.0,38,36,0.00,0.16,-0.06,-27.27,0.12,0.11,0.00,0.11,+0.04,57.14,0.08,0.08,0.55,-0.44,0.0,0.0,0.03,0.08,0.15,0.17,0.18,0.25,0.4,0.31,0.2,0.13,0.12,0.1,0.05,0.03
2018-08-02,1928,SAN,38.3,-1.5,-3.77,27714.56055,27800.0,721,491,-41.48,390,689,97.99,38.00,33.0,32,31,1.76,1.54,-0.93,-37.65,1.64,1.46,0.95,1.17,+0.58,98.31,1.34,1.28,0.54,-0.46,0.04,0.04,0.25,0.62,1.42,1.62,1.81,2.69,4.39,3.76,2.19,1.45,1.27,1.08,0.45,0.23
2018-08-02,1988,MSB,5.64,-0.12,-2.08,27714.56055,27800.0,721,491,-41.48,390,689,97.99,5.75,21.0,23,25,0.00,0.10,-0.05,-33.33,0.09,0.08,0.20,0.22,+0.07,46.67,0.2,0.2,0.37,-0.61,0.01,0.01,0.0,0.03,0.07,0.1,0.13,0.25,0.48,0.67,0.43,0.25,0.23,0.2,0.09,0.03
2018-08-02,2007,COG,11.02,-0.34,-2.99,27714.56055,27800.0,721,491,-41.48,390,689,97.99,11.00,49.0,65,63,0.90,0.81,-0.18,-18.18,0.66,0.59,0.71,0.75,+0.12,19.05,0.64,0.61,0.53,-0.47,0.01,0.01,0.27,0.57,0.81,0.87,0.93,1.16,1.46,1.34,1.07,0.87,0.82,0.77,0.57,0.31
2018-08-02,2018,AAC,94.45,-3.4,-3.47,27714.56055,27800.0,721,491,-41.48,390,689,97.99,95.00,30.0,50,49,4.97,5.10,-1.63,-24.22,3.13,2.72,4.10,5.40,+1.53,39.53,3.67,3.57,0.5,-0.5,0.1,0.1,1.45,2.9,4.9,5.4,5.91,7.91,10.77,11.38,8.05,6.28,5.83,5.39,3.61,1.8
